# Time-averaged data for fix msd_output
# TimeStep c_msd_compute[4]
131300 157372
131400 157164
131500 156962
131600 156769
131700 156295
131800 155467
131900 154425
132000 153442
132100 152494
132200 151250
132300 149800
132400 148473
132500 147293
132600 145949
132700 144570
132800 143474
132900 142718
133000 142129
133100 141707
133200 141901
133300 142700
133400 143809
133500 145210
133600 147180
133700 149880
133800 152896
133900 155915
134000 159080
134100 162465
134200 165858
134300 168893
134400 171315
134500 173317
134600 175059
134700 176200
134800 176544
134900 176532
135000 176507
135100 176165
135200 175337
135300 174209
135400 173154
135500 172156
135600 170879
135700 169513
135800 168389
135900 167474
136000 166445
136100 165322
136200 164343
136300 163617
136400 163126
136500 162711
136600 162294
136700 162162
136800 162518
136900 163048
137000 163580
137100 164214
137200 165070
137300 166071
137400 166897
137500 167600
137600 168499
137700 169578
137800 170644
137900 171668
138000 173031
138100 174788
138200 176498
138300 178052
138400 179561
138500 181096
138600 182364
138700 182946
138800 183070
138900 183009
139000 182745
139100 182035
139200 180774
139300 179405
139400 178183
139500 176876
139600 175371
139700 173796
139800 172355
139900 171061
140000 169715
140100 168423
140200 167590
140300 167259
140400 167108
140500 167161
140600 167653
140700 168704
140800 170081
140900 171505
141000 173270
141100 175549
141200 178087
141300 180653
141400 183434
141500 186612
141600 189778
141700 192614
141800 195086
141900 197275
142000 199216
142100 200720
142200 201537
142300 201892
142400 202137
142500 202114
142600 201546
142700 200503
142800 199195
142900 197755
143000 196046
143100 193903
143200 191780
143300 190117
143400 188779
143500 187601
143600 186646
143700 186241
143800 186634
143900 187336
144000 188093
144100 189049
144200 190377
144300 191827
144400 193001
144500 194144
144600 195447
144700 196846
144800 198183
144900 199364
145000 200603
145100 202108
145200 203567
145300 204650
145400 205507
145500 206279
145600 206945
145700 207425
145800 207669
145900 207799
146000 207968
146100 207958
146200 207419
146300 206543
146400 205728
146500 204868
146600 203719
146700 202212
146800 200624
146900 199428
147000 198495
147100 197524
147200 196660
147300 196200
147400 196066
147500 195896
147600 195892
147700 196399
147800 197434
147900 198865
148000 200669
148100 203171
148200 206454
148300 210017
148400 213562
148500 217189
148600 220814
148700 224166
148800 227084
148900 229737
149000 232281
149100 234270
149200 235396
149300 235871
149400 235911
149500 235433
149600 234052
149700 231576
149800 228703
149900 225932
150000 223344
